poster_url;rt_audience_score;rt_score;genres;Genre_1;Genre_2;Genre_3;imdb_rating;length;rank_in_year;rating;release_date;studio;title;worldwide_gross;year
http://resizing.flixster.com/csINXh6bBY_YMax7pD2fFGtGDjQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/51/11165160_ori.jpg;4.4;8.6;"Drama
Crime
Action";Drama;Crime;Action;9.0;152;1;PG-13;18-Jul-08;Warner Bros. / Legendary;The Dark Knight;997000000;2008
http://resizing.flixster.com/zWzdOF4aj3aZlB3vX7BlUQ3PbSk=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/09/10930953_ori.jpg;4.2;8.5;"Family
Animation
Adventure";Family;Animation;Adventure;8.4;98;9;G;27-Jun-08;Disney / Pixar;WALL-E;521311860;2008
http://resizing.flixster.com/MqZzDrxTe4GO7kHb2bo-16W9Wo8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166714_ori.jpg;4.1;6.1;"War
Fantasy
Action";War;Fantasy;Action;7.8;117;10;R;9-Mar-07;Warner Bros. / Legendary;300;456068181;2007
http://resizing.flixster.com/O5pmr1P4sAe4L0G6SUFYlLGiKec=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168876_ori.jpg;3.9;6.9;"Fantasy
Family
Adventure";Fantasy;Family;Adventure;7.4;138;2;PG-13;11-Jul-07;Warner Bros.;Harry Potter and the Order of the Phoenix;939885929;2007
http://resizing.flixster.com/-P1B68zFT7N17v-6cy5Bep7DU3A=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166780_ori.jpg;3.6;6.4;"Thriller
Sci-Fi
Drama";Thriller;Sci-Fi;Drama;7.2;101;7;PG-13;14-Dec-07;Warner Bros.;I Am Legend;585349010;2007
http://resizing.flixster.com/MDARF9TZB345ZZGLsmNCi0SoReI=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/10/10/43/10104317_ori.jpg;3.6;4.8;"Mystery
Adventure
Action";Mystery;Adventure;Action;6.5;124;9;PG;21-Dec-07;Disney;National Treasure: Book of Secrets;457364600;2007
http://resizing.flixster.com/M2Ku83KAglImISwK7qTuXAgQtWo=/180x252/dkpu1ddg7pbsk.cloudfront.net/movie/10/95/55/10955508_ori.jpg;3.8;5.5;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;7.1;169;1;PG-13;25-May-07;Disney;Pirates of the Caribbean: At World's End;963420425;2007
http://resizing.flixster.com/8S8STXVMHBpUANLhLeLbVcdo0QY=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/41/60/98/4160984_ori.jpg;3.9;8.5;"Family
Comedy
Animation";Family;Comedy;Animation;8.0;111;6;G;29-Jun-07;Disney / Pixar;Ratatouille;623707397;2007
http://resizing.flixster.com/7T7Mf9iNihk3sOMASXbEg5Hnd2Q=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/59/86/40/5986403_ori.jpg;3.4;5.4;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;6.1;93;4;PG;18-May-07;DreamWorks / Paramount;Shrek the Third;798958162;2007
http://resizing.flixster.com/Vj9BYtnUOcPSdQRrFT8aeJqpinI=/180x265/dkpu1ddg7pbsk.cloudfront.net/movie/10/84/37/10843725_ori.jpg;3.7;7.6;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;7.4;87;8;PG-13;27-Jul-07;Fox;The Simpsons Movie;527071022;2007
http://resizing.flixster.com/JZvkeqWLNeqakvkeY4aTklBQV1o=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169794_ori.jpg;4.1;5.8;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;7.2;144;5;PG-13;3-Jul-07;DreamWorks / Paramount;Transformers;709709780;2007
http://resizing.flixster.com/LVmmDUeCVlq9gYapYjWXBo7jbY4=/180x269/dkpu1ddg7pbsk.cloudfront.net/movie/10/92/20/10922005_ori.jpg;3.7;6.9;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;7.2;117;6;G;9-Jun-06;Disney / Pixar;Cars;461983149;2006
http://resizing.flixster.com/nVwVWCdXtCU2QjoiYNi_3CNFGOw=/180x268/dkpu1ddg7pbsk.cloudfront.net/movie/11/12/81/11128111_ori.jpg;3.9;7.8;"Thriller
Adventure
Action";Thriller;Adventure;Action;8.0;144;4;PG-13;17-Nov-06;MGM / Columbia;Casino Royale;599045960;2006
http://resizing.flixster.com/bCM1HcCJyha7Woh-txAHhyjEDqo=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166724_ori.jpg;3.6;6.9;"Family
Comedy
Animation";Family;Comedy;Animation;6.5;108;10;PG;17-Nov-06;Warner Bros.;Happy Feet;384335608;2006
http://resizing.flixster.com/8JL-X7PSHtVrLJV3m9vmwFY1Wq4=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/34/60/10/3460109_ori.jpg;3.6;6.1;"Animation
Adventure
Action";Animation;Adventure;Action;6.9;91;3;PG;31-Mar-06;Fox / Blue Sky;Ice Age: The Meltdown;660940780;2006
http://resizing.flixster.com/2KYbFrx6KYIzP0Bp_-g7zYjBADk=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/97/11169790_ori.jpg;3.3;6.6;"Thriller
Adventure
Action";Thriller;Adventure;Action;6.8;126;8;PG-13;5-May-06;Paramount;Mission: Impossible III;397850012;2006
http://resizing.flixster.com/YUQIBUn5Xp1WT1dWCZiAofYtYuY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/11/11181144_ori.jpg;3.5;5.3;"Comedy
Adventure
Action";Comedy;Adventure;Action;6.4;108;5;PG;22-Dec-06;Fox;Night at the Museum;574480052;2006
http://resizing.flixster.com/qk6YXbPRzxZNFCv29_ayCEa6mBY=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/78/63/786362_ori.jpg;3.9;6.0;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;7.3;151;1;PG-13;7-Jul-06;Disney;Pirates of the Caribbean: Dead Man's Chest;1066179725;2006
http://resizing.flixster.com/jxYV0tzA4f2_BD9lSeOHw56i-64=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/45/20/452092_ori.jpg;3.3;7.0;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;6.1;154;9;PG-13;28-Jun-06;Warner Bros. / Village Roadshow;Superman Returns;391081192;2006
http://resizing.flixster.com/g-qQMJ4MG4TGyU2mvktQXhvNp3k=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/74/11177483_ori.jpg;3.6;5.9;"Sci-Fi
Adventure
Action";Sci-Fi;Adventure;Action;6.8;104;7;PG-13;26-May-06;Fox;X-Men: The Last Stand;459359555;2006
http://resizing.flixster.com/1_QYLOL1hIXTD3z7ujcYi8zcqzs=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/64/11176489_ori.jpg;3.0;7.2;"Comedy
Adventure
Family";Comedy;Adventure;Family;6.7;115;8;PG;15-Jul-05;Warner Bros;Charlie and the Chocolate Factory;474968763;2005
http://resizing.flixster.com/Z-LFUFCKP2jWIiji0Lr_HI2FJmI=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168873_ori.jpg;3.4;7.5;"Fantasy
Family
Adventure";Fantasy;Family;Adventure;7.6;157;1;PG-13;18-Nov-05;Warner Bros.;Harry Potter and the Goblet of Fire;895921036;2005
http://resizing.flixster.com/QoPcsIL-O00p3YYGQbbo4zfkLLQ=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/88/11168882_ori.jpg;2.8;7.7;"Drama
Adventure
Action";Drama;Adventure;Action;7.3;187;5;PG-13;14-Dec-05;Universal;King Kong;550517357;2005
http://resizing.flixster.com/oKyYx8tO-5UYR3hmsx0kbzZ4Nl8=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/24/97/249793_ori.jpg;3.4;6.1;"Comedy
Animation
Adventure";Comedy;Animation;Adventure;6.9;86;6;PG;27-May-05;DreamWorks;Madagascar;532680671;2005
http://resizing.flixster.com/65JisMaXM3YsP04ToywirE5Cc1s=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/91/11189190_ori.jpg;3.4;6.0;"Crime
Comedy
Action";Crime;Comedy;Action;6.5;120;7;PG-13;10-Jun-05;20th Century Fox;Mr. & Mrs. Smith;478207520;2005
http://resizing.flixster.com/wjhvha9b71ws51OXc6e1MYuAC48=/110x150/dkpu1ddg7pbsk.cloudfront.net/movie/10/94/47/10944718_ori.jpg;3.1;7.2;"Fantasy
Adventure
Action";Fantasy;Adventure;Action;7.7;140;2;PG-13;19-May-05;20th Century Fox / Lucasfilm;Star Wars Episode III: Revenge of the Sith;848754768;2005
